time_s,dist_mm,motor_pwm
44381.0,0.0,-150.0
44382.0,2119.0,-150.0
44482.0,2114.0,-150.0
44582.0,2094.0,-150.0
44686.0,2024.0,-150.0
44781.0,1992.0,-150.0
44881.0,1922.0,-150.0
44981.0,1860.0,-150.0
45076.0,1790.0,-150.0
45181.0,1695.0,-150.0
45279.0,1585.0,-150.0
45378.0,1492.0,-150.0
45480.0,1418.0,-150.0
45599.0,1304.0,-150.0
45694.0,1167.0,-150.0
45799.0,1038.0,-150.0
45896.0,899.0,-150.0
46000.0,744.0,-150.0
46096.0,606.0,-150.0
46204.0,457.0,-150.0
46300.0,301.0,-150.0
46400.0,128.0,-150.0
46500.0,32.0,-150.0
46599.0,123.0,-150.0
46699.0,153.0,-150.0
46799.0,154.0,-150.0
46898.0,144.0,-150.0
46999.0,122.0,-150.0
47099.0,87.0,-150.0
47199.0,49.0,-150.0
47298.0,8.0,-150.0
47399.0,4.0,-150.0
