SensorType,Time (s),ToF_Sensor1 (mm),ToF_Sensor2 (mm)
ToF,0.0,306.0,335.0
ToF,0.052,307.0,340.0
ToF,0.149,308.0,345.0
ToF,0.252,308.0,350.0
ToF,0.354,307.0,356.0
ToF,0.454,310.0,378.0
ToF,0.553,310.0,435.0
ToF,0.653,312.0,587.0
ToF,0.752,313.0,703.0
ToF,0.851,313.0,741.0
ToF,0.953,311.0,766.0
ToF,1.051,310.0,760.0
ToF,1.148,310.0,747.0
ToF,1.254,309.0,718.0
ToF,1.349,312.0,683.0
ToF,1.451,311.0,657.0
ToF,1.551,313.0,646.0
ToF,1.654,310.0,641.0
ToF,1.749,314.0,642.0
ToF,1.854,318.0,652.0
ToF,1.954,324.0,656.0
ToF,2.054,330.0,652.0
ToF,2.151,331.0,653.0
ToF,2.251,333.0,660.0
ToF,2.355,331.0,665.0
ToF,2.453,336.0,663.0
ToF,2.552,352.0,663.0
ToF,2.65,384.0,652.0
ToF,2.749,452.0,672.0
ToF,2.851,392.0,671.0
ToF,2.951,367.0,665.0
ToF,3.051,342.0,657.0
ToF,3.154,338.0,655.0
ToF,3.253,341.0,673.0
ToF,3.352,344.0,716.0
ToF,3.453,346.0,769.0
ToF,3.551,348.0,782.0
ToF,3.651,352.0,730.0
ToF,3.752,347.0,702.0
ToF,3.852,345.0,662.0
ToF,3.955,336.0,653.0
ToF,4.053,331.0,688.0
ToF,4.152,326.0,672.0
ToF,4.254,326.0,685.0
ToF,4.355,315.0,692.0
ToF,4.454,314.0,693.0
ToF,4.55,314.0,695.0
ToF,4.654,313.0,690.0
ToF,4.755,313.0,703.0
ToF,4.851,310.0,705.0

SensorType,Time (s),AccX (g),AccY (g),AccZ (g),GyroX (бу/s),GyroY (бу/s),GyroZ (бу/s)
IMU,0.0,-0.019,-0.78,0.653,13.526,13.282,-7.374
IMU,0.009,0.003,-0.825,0.661,8.9,9.656,-3.167
IMU,0.017,0.03,-0.815,0.66,0.969,-4.549,0.213
IMU,0.02,0.005,-0.798,0.672,-1.679,-1.671,1.213
IMU,0.025,-0.007,-0.808,0.669,-3.282,-4.778,0.091
IMU,0.029,0.025,-0.785,0.666,-2.755,-1.923,-1.297
IMU,0.037,0.007,-0.814,0.665,-4.152,-0.687,1.839
IMU,0.043,-0.006,-0.811,0.67,-6.557,-4.801,1.137
IMU,0.047,0.012,-0.809,0.667,-9.793,3.015,0.236
IMU,0.052,0.001,-0.811,0.657,-10.068,1.038,-1.816
IMU,0.061,0.011,-0.805,0.65,-12.534,-2.404,-0.534
IMU,0.064,0.008,-0.81,0.645,-11.931,-9.122,-0.755
IMU,0.068,-0.008,-0.8,0.651,-11.809,-2.358,5.16
IMU,0.074,0.0,-0.801,0.65,-7.717,-0.374,-2.099
IMU,0.077,0.012,-0.813,0.644,-6.45,-0.503,-0.122
IMU,0.084,-0.003,-0.805,0.645,-2.374,2.091,0.251
IMU,0.088,0.002,-0.812,0.649,0.099,0.488,0.29
IMU,0.093,-0.001,-0.812,0.653,0.0,0.061,-1.19
IMU,0.096,0.0,-0.813,0.653,-1.305,1.832,-2.312
IMU,0.1,0.006,-0.807,0.652,1.984,-1.244,-2.145
IMU,0.106,0.004,-0.804,0.66,2.122,2.679,0.511
IMU,0.109,-0.003,-0.804,0.66,0.152,-0.969,1.32
IMU,0.116,-0.004,-0.806,0.658,3.343,-0.328,-0.358
IMU,0.121,0.01,-0.811,0.651,-1.77,-1.832,0.534
IMU,0.124,0.014,-0.804,0.649,-1.083,3.145,-0.564
